기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20232,11140625,다산동,4286243,2024928,2261315,548691,653175,802940,703828,624079,953529,1083037,917951,541630,522064,690424,531137,620196,624196,629137,629176,624667,580974,577897
20233,11140625,다산동,4138947,1958395,2180551,503565,627508,778280,678642,618853,932098,1044157,880552,520696,503901,673490,516149,607401,609772,605480,600759,596813,557666,561054
20234,11140625,다산동,4297086,2019965,2277121,523781,661248,813507,710000,634968,953580,1092435,912608,536951,521759,699686,533646,618241,627409,628143,629840,630219,585094,578139
20191,11140580,장충동,2369860,1219660,1150200,195684,609744,430868,361959,323912,447694,461784,522487,390636,374418,391720,228816,354842,351412,361542,366827,355349,299017,280874
20192,11140580,장충동,1740545,883372,857173,162628,476971,302880,255203,229617,313245,328771,381645,289271,276762,294801,169294,262210,269770,267888,260582,259517,220208,200372
20193,11140580,장충동,2630369,1349539,1280831,206012,671995,495856,415522,361775,479210,521595,580992,421223,406860,437553,262146,401634,414409,407865,389508,387164,317076,312715
20194,11140580,장충동,2597255,1322050,1275203,203381,710622,458612,387620,353923,483096,519585,568939,416268,400903,433191,258367,391706,398292,386584,388804,389260,326145,316461
20201,11140580,장충동,2173660,1135458,1038202,158180,539176,404317,348345,305350,418292,454060,489257,341135,328906,342662,217641,324568,337209,329867,335657,324509,261940,259909
20202,11140580,장충동,2138258,1107455,1030804,164715,561817,379233,328399,295660,408433,469648,482401,325930,311694,327790,220793,326180,327377,327456,327561,322368,259825,247492
20203,11140580,장충동,2041092,1055142,985950,136072,532632,367031,319469,291420,394468,451262,461196,310490,297195,309871,211079,304927,312875,306050,315748,310214,252205,239074
20204,11140580,장충동,2021659,1050964,970695,139105,536979,360713,316181,280585,388099,445665,455170,307890,296304,307809,208822,310211,314756,312595,301160,291137,250981,240821
