개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00547,2023-12-18,,1,영업/정상,1,영업,,,,,,3.3,133-827,서울특별시 성동구 성수동2가 322-4 (주)대명케미칼,"서울특별시 성동구 성수이로14길 14, 성수연방 나동 1층 101호 (성수동2가)",4784.0,랑데자뷰 성수카멜리아점,2023-12-18 17:40,I,00:00.0,기타
3030000,3030000-104-2023-00167,2023-12-19,,1,영업/정상,1,영업,,,,,,26.0,133-819,서울특별시 성동구 성수동1가 289 영풍빌딩,"서울특별시 성동구 성덕정길 71, 영풍빌딩 1층 103호 (성수동1가)",4775.0,꼬붕,2023-12-19 16:56,I,01:00.0,기타 휴게음식점
3030000,3030000-101-2023-00548,2023-12-19,,1,영업/정상,1,영업,,,,,02  21496619,265.49,133-831,서울특별시 성동구 성수동2가 276-2 (주)대륭,"서울특별시 성동구 성수이로20길 51, 1층 (성수동2가)",4787.0,스테이지파이브,2023-12-19 16:48,I,01:00.0,기타
3030000,3030000-101-2023-00549,2023-12-19,,1,영업/정상,1,영업,,,,,,96,133-828,서울특별시 성동구 성수동2가 354-1 청수장여관,"서울특별시 성동구 둘레9길 18-7, 1, 2층 (성수동2가)",4775.0,카페 천수장,2023-12-19 17:05,I,01:00.0,기타
3030000,3030000-101-2023-00550,2023-12-20,,1,영업/정상,1,영업,,,,,,98.88,133-924,서울특별시 성동구 성수동1가 656-1069,"서울특별시 성동구 왕십리로 108, 3층 (성수동1가)",4778.0,쎄시봉 in 성수,2023-12-20 16:46,I,03:00.0,기타
3030000,3030000-101-2023-00553,2023-12-21,,1,영업/정상,1,영업,,,,,070 76232200,112.58,133-823,서울특별시 성동구 성수동1가 656-1731 누디트 서울숲,"서울특별시 성동구 아차산로 6, 누디트 서울숲 1동 2층 (성수동1가)",4778.0,탄산니앙,2023-12-21 15:09,I,03:00.0,기타
3030000,3030000-101-2023-00552,2023-12-21,,1,영업/정상,1,영업,,,,,,252.33,133-831,서울특별시 성동구 성수동2가 273-13 태광산업,"서울특별시 성동구 연무장15길 11, 에스팩토리 가(B)동 101~111호 (성수동2가)",4783.0,대니스수퍼마켓,2023-12-21 14:31,I,03:00.0,기타
3030000,3030000-101-2023-00551,2023-12-21,,1,영업/정상,1,영업,,,,,,100.81,133-831,서울특별시 성동구 성수동2가 273-52 더리브 세종타워,"서울특별시 성동구 아차산로 126, 더리브 세종타워 지1층 B108호 (성수동2가)",4783.0,게방식당,2023-12-21 11:20,I,03:00.0,한식
3030000,3030000-101-2023-00554,2023-12-22,,1,영업/정상,1,영업,,,,,,33.49,133-924,서울특별시 성동구 성수동1가 656-1016,"서울특별시 성동구 왕십리로8길 21, 지1층 (성수동1가)",4778.0,바타스 BATAS,2023-12-22 12:19,I,04:00.0,기타
3030000,3030000-101-2023-00556,2023-12-26,,1,영업/정상,1,영업,,,,,,200,133-834,서울특별시 성동구 성수동2가 289-224,"서울특별시 성동구 성수일로8길 39-1, 지하1층 (성수동2가)",4794.0,대저택,2023-12-26 16:56,I,08:00.0,기타
3030000,3030000-101-2023-00562,2023-12-29,,1,영업/정상,1,영업,,,,,,69.41,133-835,서울특별시 성동구 성수동2가 314-6 신성빌딩,"서울특별시 성동구 아차산로 96, 신성빌딩 1층 (성수동2가)",4782.0,한신우동 성수점,2024-01-11 12:40,U,03:00.0,한식
3030000,3030000-101-2023-00561,2023-12-29,,1,영업/정상,1,영업,,,,,,50.74,133-834,서울특별시 성동구 성수동2가 289-39,"서울특별시 성동구 아차산로7길 36, 1층 4호 (성수동2가)",4795.0,더양평해장국 성수역점,2023-12-29 14:20,I,01:00.0,한식
